Réponse,"Soumis le :",Institution,Département,Cours,Groupe,ID,"Nom complet","Nom d'utilisateur","Burger b1","Burger b2","Burger b3","Burger b4","Burger b5","Burger b6","Burger b7","Burger b8","Burger b9","Burger b10"
86475,"06/09/2023 09:58:31",,,"Info4.GProj - Projet avancé - KINFP40U",,6670,"filou michel",dgv23a,1,1,2,10,3,3,4,4,10,9
87263,"12/09/2023 22:18:12",,,"Info4.GProj - Projet avancé - KINFP40U",,148101,"zazi dodo",vlg40a,1,3,10,9,-1,5,6,4,8,2
87107,"11/09/2023 10:33:32",,,"Info4.GProj - Projet avancé - KINFP40U",,148573,"gabirel pol",grg90a,1,2,3,10,8,7,7,5,3,3
86567,"06/09/2023 15:20:04",,,"Info4.GProj - Projet avancé - KINFP40U",,148739,"Lonssandra Eva",lnv31a,9,4,2,5,3,10,1,6,8,7
86900,"08/09/2023 16:39:58",,,"Info4.GProj - Projet avancé - KINFP40U",,148818,"margot Robin",mnr43a,10,9,8,7,6,5,4,3,2,1
86531,"06/09/2023 13:32:06",,,"Info4.GProj - Projet avancé - KINFP40U",,149144,"leane Loan",vgl49a,3,2,6,8,5,9,1,4,10,7
87494,"16/09/2023 08:37:44",,,"Info4.GProj - Projet avancé - KINFP40U",,151866,"pirou Maxime",chm30b,1,2,3,4,5,6,7,8,9,10
86776,"07/09/2023 19:19:06",,,"Info4.GProj - Projet avancé - KINFP40U",,151977,"dinos Thaoumani",dnt68a,8,9,4,9,5,9,8,8,7,5
86643,"06/09/2023 21:14:47",,,"Info4.GProj - Projet avancé - KINFP40U",,170564,"yobo Fabio",brf19b,8,4,9,6,7,5,10,10,6,7
86897,"08/09/2023 16:19:31",,,"Info4.GProj - Projet avancé - KINFP40U",,170886,"gari Nicolas",grn43a,2,3,1,8,8,6,7,5,-1,4
86533,"06/09/2023 13:35:02",,,"Info4.GProj - Projet avancé - KINFP40U",,171076,"migon Julie",mgj42a,4,5,6,3,7,2,8,1,9,10
87004,"10/09/2023 10:53:58",,,"Info4.GProj - Projet avancé - KINFP40U",,171114,"tinmar Benoit",mrb57a,10,3,2,8,4,9,1,5,6,7
86948,"09/09/2023 02:27:02",,,"Info4.GProj - Projet avancé - KINFP40U",,171172,"doyu Assane",nds46a,1,7,6,10,5,9,8,4,2,3
87140,"11/09/2023 15:43:09",,,"Info4.GProj - Projet avancé - KINFP40U",,171227,"tipin Anthony",pnn45a,4,2,8,10,6,1,9,4,7,1
87142,"11/09/2023 16:13:51",,,"Info4.GProj - Projet avancé - KINFP40U",,171954,"widdu Corentin",ldc48a,8,2,3,10,4,9,5,6,7,1
86786,"07/09/2023 20:28:28",,,"Info4.GProj - Projet avancé - KINFP40U",,171963,"forge Mateo",lfm79a,1,2,10,9,3,5,6,4,7,8
86498,"06/09/2023 11:04:55",,,"Info4.GProj - Projet avancé - KINFP40U",,172178,"lapagi Emanuele",pgm40a,2,7,5,10,6,4,3,8,9,1
87181,"11/09/2023 23:16:09",,,"Info4.GProj - Projet avancé - KINFP40U",,172247,"dragui MARTINS Marco",rgm30a,7,8,5,9,4,3,1,2,10,6
87141,"11/09/2023 15:43:27",UT3,"Haute-Garonne 31","Info4.GProj - Projet avancé - KINFP40U",,172841,"minru Raphael",rmr45a,10,1,5,8,7,2,6,9,3,4
86970,"09/09/2023 14:44:30",,,"Info4.GProj - Projet avancé - KINFP40U",,173516,"messauid Tinhinane",tmt44a,3,10,9,2,7,8,6,1,5,4
86615,"06/09/2023 18:23:27",,,"Info4.GProj - Projet avancé - KINFP40U",,173930,"giesti Jarod",gnj82a,5,2,6,10,1,9,8,3,4,7
87125,"11/09/2023 13:14:43",,,"Info4.GProj - Projet avancé - KINFP40U",,174489,"senge Noa",snn01a,4,3,10,9,8,7,2,1,6,5
87233,"12/09/2023 14:20:45",,,"Info4.GProj - Projet avancé - KINFP40U",,175143,"sanche Emilien",snm72a,8,7,3,1,7,8,10,9,1,-1
87082,"10/09/2023 22:25:31",,,"Info4.GProj - Projet avancé - KINFP40U",,175228,"musoui Salim",mss70a,10,9,4,7,5,1,2,6,8,3
86650,"06/09/2023 21:32:27",,,"Info4.GProj - Projet avancé - KINFP40U",,176052,"richad Jeremy",rcj64a,5,1,9,10,6,7,3,4,8,2
87104,"11/09/2023 10:25:21",,,"Info4.GProj - Projet avancé - KINFP40U",,177004,"comel Oceane",cl377a,10,1,8,4,9,7,2,3,6,5
86481,"06/09/2023 10:10:36",,,"Info4.GProj - Projet avancé - KINFP40U",,177220,"lamald Daoud",lm339a,8,9,10,7,4,6,2,1,5,3
86740,"07/09/2023 15:26:04",,,"Info4.GProj - Projet avancé - KINFP40U",,178667,"baizou Nabil",zbn01a,1,8,9,3,5,2,6,4,-1,7
86614,"06/09/2023 18:22:13",,,"Info4.GProj - Projet avancé - KINFP40U",,178686,"kouzmio Quentin",kzq27a,3,4,5,10,2,9,6,7,1,8
87103,"11/09/2023 10:21:26",,,"Info4.GProj - Projet avancé - KINFP40U",,178742,"diallas Mariama",dl157a,1,3,1,2,9,5,8,1,9,-1
86664,"06/09/2023 23:32:23",,,"Info4.GProj - Projet avancé - KINFP40U",,179096,"hando Hippolyte",hnh73a,2,3,8,9,1,7,5,4,10,6
87279,"13/09/2023 12:58:58",,,"Info4.GProj - Projet avancé - KINFP40U",,179943,"joseph Alina",vn547a,8,9,9,7,8,5,10,9,6,5
87085,"10/09/2023 23:25:39",,,"Info4.GProj - Projet avancé - KINFP40U",,180110,"marie Remy",jsr39a,1,2,3,7,5,10,4,6,5,8
86957,"09/09/2023 10:32:02",,,"Info4.GProj - Projet avancé - KINFP40U",,180405,"nabac Veronika",rd353a,5,7,9,8,6,1,3,2,10,4
87057,"10/09/2023 18:47:36",,,"Info4.GProj - Projet avancé - KINFP40U",,180535,"marc Johnley",js430a,1,6,2,3,8,10,9,7,5,4
86994,"09/09/2023 20:58:00",,,"Info4.GProj - Projet avancé - KINFP40U",,180776,"setta Nathan",rs112a,9,7,3,4,5,6,1,2,8,10
86569,"06/09/2023 15:24:23",,,"Info4.GProj - Projet avancé - KINFP40U",,188555,"pinge Ninon",tf933a,3,10,2,8,6,5,1,4,-1,7
86627,"06/09/2023 18:51:50",,,"Info4.GProj - Projet avancé - KINFP40U",,191545,"kanize Yanis",zr63a,9,10,6,7,3,4,1,2,8,5
87244,"12/09/2023 16:39:15",,,"Info4.GProj - Projet avancé - KINFP40U",,194688,"geaulle Noemie",gr13a,1,5,7,3,6,8,4,10,9,2
